math	english	chinese	history	physics
63	92	88	74	48
87	90	83	62	56
84	69	97	67	79
82	94	97	71	83
78	83	94	73	99
74	84	80	63	57
76	90	85	76	98
65	93	87	65	70
89	70	96	61	85
86	88	95	74	80
69	100	87	63	76
85	90	82	77	96
80	78	89	70	67
79	100	98	75	92
67	68	81	64	52
68	96	91	77	47
66	96	80	60	98
66	55	79	61	40
81	77	90	60	65
76	86	81	72	59
84	66	93	74	46
82	73	85	66	75
74	99	99	72	68
80	91	89	69	58
84	56	94	66	45
77	63	91	75	90
83	64	85	70	87
72	72	96	73	64
80	63	98	65	93
72	98	87	71	55
74	99	92	73	89
89	99	84	73	69
84	80	86	72	50
63	65	95	76	99
79	86	81	69	61
65	61	86	63	86
74	60	98	64	59
87	59	78	78	90
70	77	85	68	89
88	58	98	60	87
73	80	91	69	53
89	91	90	75	78
75	92	99	76	84
84	69	100	78	77
65	65	100	66	57
68	74	79	62	90
65	64	84	67	59
65	75	98	80	53
74	98	98	69	80
63	57	94	77	41
66	57	93	78	48
71	78	86	79	52
77	55	78	77	69
89	69	89	74	76
75	87	99	61	69
83	82	99	74	80
69	88	99	74	42
72	62	82	78	66
78	59	89	69	99
64	85	95	69	51
78	91	91	64	82
78	87	84	64	74
63	66	84	77	97
72	69	84	79	84
86	67	98	61	58
72	91	82	61	87
79	74	80	77	63
88	78	90	66	96
70	81	89	67	67
73	57	78	77	60
67	87	92	73	42
80	80	78	75	58
87	77	90	80	58
69	77	96	64	76
88	73	87	78	66
79	77	88	73	82
68	79	87	72	43
64	94	81	68	65
84	75	85	74	48
64	71	79	62	95
86	67	92	73	83
83	71	89	77	88
87	65	79	68	52
70	94	85	73	98
82	66	78	72	70
82	78	90	78	68
84	55	88	77	90
82	98	81	67	99
78	95	92	77	80
64	99	81	78	53
81	72	99	79	61
83	91	94	73	74
72	55	93	77	80
67	75	82	74	99
81	97	80	69	74
79	83	89	78	62
67	62	99	72	84
75	69	92	78	66
88	95	99	60	77
74	84	99	62	83
88	76	94	73	98
76	87	88	63	79
76	67	80	72	60
89	56	95	67	40
65	59	84	66	59
85	94	78	76	77
63	80	88	60	41
72	98	87	78	69
86	82	79	68	62
74	82	90	80	73
63	70	87	63	49
72	95	98	74	73
88	86	80	75	85
85	83	93	73	88
73	90	98	66	43
79	96	99	60	63
85	72	80	66	100
87	68	78	72	74
74	98	88	63	65
80	95	84	61	54
64	100	79	67	48
83	94	79	61	42
85	85	90	61	63
74	70	98	80	43
75	58	94	71	44
77	99	89	78	45
75	78	80	73	48
75	75	97	63	97
88	95	91	66	61
63	90	100	65	85
69	98	83	72	44
83	61	92	73	88
75	73	87	68	79
71	89	79	66	96
74	97	99	67	41
83	58	91	77	84
85	64	80	74	99
85	60	86	80	47
82	100	81	77	62
69	69	96	64	81
67	99	79	60	71
82	95	83	64	46
68	62	92	64	65
89	80	92	70	68
73	69	90	64	88
82	94	99	80	89
69	70	78	77	49
63	62	78	79	44
89	75	91	80	60
80	69	79	64	89
79	59	85	80	52
75	80	78	76	62
78	99	95	69	99
75	86	96	67	75
72	88	98	61	43
75	59	85	70	90
77	95	82	75	78
73	77	100	69	71
64	70	83	68	65
89	70	90	63	97
70	79	98	74	70
67	94	99	69	50
83	70	82	67	49
83	93	88	74	85
86	96	97	60	64
78	71	94	66	48
73	58	93	72	46
88	94	90	69	85
63	89	95	79	87
79	70	87	73	81
74	96	87	64	83
85	95	82	80	47
64	81	90	72	78
83	57	91	74	54
88	82	79	74	85
66	62	99	68	41
84	72	86	66	82
68	82	80	65	75
69	84	100	60	45
83	93	91	79	97
84	83	100	76	97
79	89	79	60	84
63	77	96	80	42
88	57	87	75	98
78	74	90	72	79
88	55	83	69	49
74	98	78	74	98
88	64	94	62	75
66	87	79	78	50
70	90	93	79	61
71	69	83	75	66
66	59	96	78	46
69	83	91	64	64
84	79	78	65	66
88	100	96	73	71
78	85	82	71	96
84	73	89	75	68
63	72	81	71	99
67	74	78	68	65
84	79	84	70	83
67	98	84	77	52
71	91	82	76	96
67	93	100	80	85
70	69	87	67	88
72	92	81	65	90
66	100	87	60	80
72	74	87	74	51
86	79	97	63	40
75	66	86	79	52
85	81	79	67	49
88	97	91	61	51
64	79	87	67	83
67	90	78	64	72
65	71	84	70	56
86	79	80	78	85
64	70	90	60	100
69	87	83	60	73
75	95	95	64	57
66	59	99	61	81
69	100	84	66	81
68	100	86	69	52
88	83	90	78	65
68	86	88	78	58
69	58	79	61	86
86	58	87	70	53
89	75	93	64	67
66	62	96	65	55
75	95	89	71	72
80	95	86	62	54
69	98	80	68	53
67	74	94	68	97
73	85	94	64	79
63	99	90	76	50
66	87	81	68	87
80	85	100	61	52
74	98	85	74	95
68	57	80	68	76
67	100	85	67	63
71	97	89	67	74
80	67	88	76	57
76	76	88	72	93
81	70	90	79	64
77	76	91	70	95
64	55	81	74	90
78	61	85	60	54
73	89	79	72	91
87	84	90	69	70
68	89	83	61	92
83	81	98	62	62
86	90	89	67	57
71	89	86	69	78
70	88	95	75	69
85	94	98	66	58
73	85	94	66	43
71	80	100	68	86
80	81	95	62	51
86	64	85	65	63
82	74	80	64	50
89	66	85	65	100
66	71	91	79	63
69	83	93	60	82
72	92	94	64	90
67	68	95	68	73
87	88	78	78	85
82	87	100	70	66
66	56	92	62	77
63	100	87	61	77
69	76	89	75	63
64	66	96	69	73
77	84	88	76	55
77	60	99	70	84
76	74	97	70	69
75	78	89	62	92
83	58	93	72	62
65	72	78	66	90
75	90	79	71	69
87	100	88	60	69
67	86	83	80	69
83	76	96	75	79
68	62	93	75	41
67	100	95	70	49
83	62	91	68	96
68	80	89	76	57
81	94	95	64	76
82	71	92	74	49
73	97	85	65	96
63	100	93	76	79
71	97	84	75	55
77	100	95	69	46
83	63	95	79	62
79	79	95	80	98
66	56	79	66	93
88	75	91	67	81
83	58	83	64	88
78	95	90	76	61
89	62	79	73	88
85	71	90	63	86
66	63	90	66	95
81	94	85	63	60
68	74	80	62	87
67	98	87	67	73
87	93	92	74	64
78	69	90	74	89
65	61	84	72	79
65	66	93	73	60
63	55	85	63	79
77	87	91	61	41
65	99	81	79	63
77	60	95	78	95
75	89	84	77	63
79	57	94	68	95
89	96	95	71	46
69	65	89	65	55
71	83	99	80	91
70	61	99	73	51
65	60	89	69	50
79	90	86	80	56
84	100	79	62	74
82	91	100	77	99
72	55	82	64	97
89	99	88	62	93
66	55	85	66	48
74	56	97	75	99
84	71	99	75	54
68	74	79	70	41
71	100	81	73	72
64	85	82	63	73
80	62	93	64	83
85	76	91	78	49
86	56	79	80	65
80	56	93	78	81
84	72	93	62	78
77	62	91	73	46
69	55	83	66	61
87	89	81	79	90
84	73	96	73	85
65	91	80	68	64
77	96	96	62	62
79	74	82	63	43
72	100	96	63	45
74	55	95	69	92
64	70	98	71	84
69	65	87	70	58
73	94	85	68	77
73	71	88	80	53
71	99	100	76	97
72	70	88	75	96
75	56	84	62	95
77	89	93	79	86
70	68	86	73	96
85	87	87	61	88
86	61	86	67	73
79	60	89	78	94
78	80	100	78	89
79	71	96	80	97
81	76	88	61	42
65	72	93	64	76
70	62	96	69	51
75	62	92	64	68
84	94	91	70	65
70	76	93	77	70
74	71	89	78	72
78	86	99	77	55
66	81	87	62	70
68	63	96	64	88
81	99	82	64	98
75	55	83	64	54
79	65	84	75	46
70	74	88	69	61
66	60	100	61	94
73	88	92	72	67
63	66	79	63	85
69	60	89	67	90
65	65	91	61	51
69	55	87	79	58
78	66	100	65	56
83	100	94	67	57
73	89	99	68	64
71	78	97	64	100
83	69	89	74	57
72	68	93	78	46
78	80	92	71	92
65	79	82	77	50
79	88	82	61	77
69	65	90	77	95
74	98	92	79	57
74	100	80	80	40
80	59	83	74	78
83	56	81	65	87
84	94	78	65	92
71	59	84	70	100
80	97	86	74	54
71	97	82	70	79
77	60	100	60	96
74	78	80	73	44
79	80	91	65	75
73	63	81	68	82
71	63	82	62	49
78	73	79	75	41
73	75	84	71	42
87	75	98	63	76
74	68	99	65	43
63	80	90	69	96
74	65	84	71	75
89	84	89	75	97
69	92	99	69	83
67	62	88	77	48
69	97	88	74	61
68	72	87	60	71
68	69	94	72	72
74	74	96	75	95
88	98	79	73	45
83	59	88	73	62
69	86	93	78	95
84	67	90	70	68
67	56	92	70	93
68	65	86	79	57
81	55	89	69	51
72	67	90	68	90
74	57	98	69	93
85	60	90	73	96
87	78	89	78	71
88	95	98	69	98
81	74	95	61	70
75	93	80	79	93
63	69	93	61	96
78	76	89	80	80
76	74	88	60	100
73	68	87	78	69
84	56	85	72	40
89	68	81	61	63
74	64	88	67	80
83	81	80	80	49
87	71	85	73	84
89	76	98	78	68
66	74	82	78	73
88	100	92	79	52
76	72	95	62	88
77	65	100	78	94
88	66	79	63	83
87	72	96	65	70
76	66	96	78	94
71	74	80	63	43
76	89	79	72	40
87	74	87	69	100
89	72	91	69	87
79	63	98	66	49
84	59	80	71	89
67	99	94	61	50
82	56	84	80	96
85	75	87	78	72
75	77	87	60	80
87	70	82	70	96
89	84	97	70	78
86	79	98	73	65
71	71	91	76	81
74	85	95	73	51
70	98	81	74	87
70	87	93	74	93
71	100	81	69	42
86	80	81	78	54
81	67	87	63	63
88	73	81	80	47
79	99	99	60	76
76	85	93	68	50
70	60	100	66	71
66	66	79	62	57
84	80	79	73	98
88	71	83	72	84
64	87	78	63	46
78	71	82	72	74
80	100	86	75	66
66	87	94	68	49
82	81	79	69	72
79	63	100	67	70
73	89	90	80	51
70	99	95	78	82
87	67	88	68	56
63	86	98	73	41
78	63	93	63	46
77	83	81	63	89
77	77	80	61	68
68	91	86	75	45
68	90	93	77	48
72	60	85	64	91
74	100	87	79	52
66	72	80	70	90
83	95	98	78	47
88	95	80	65	49
84	65	86	73	41
69	58	100	60	90
82	65	92	61	93
66	83	98	61	96
85	84	82	67	88
77	73	100	74	64
69	97	98	79	67
63	68	86	70	93
65	87	88	71	43
79	71	98	76	84
64	63	95	75	100
71	62	83	77	65
78	83	87	62	89
87	89	94	65	46
78	95	89	70	56
70	86	95	78	63
85	94	90	78	97
79	66	97	63	70
65	55	88	60	45
63	90	79	64	71
79	97	98	75	54
88	70	80	62	48
69	66	81	80	54
69	82	90	68	85
63	66	82	73	100
69	77	85	60	77
68	57	88	60	65
79	91	81	60	64
65	68	95	76	54
71	75	78	74	81
79	91	83	65	55
77	62	81	65	51
69	60	94	67	93
82	72	96	71	75
69	99	84	71	49
87	69	86	76	89
76	99	92	72	44
89	62	81	73	86
66	74	84	75	84
63	66	95	79	63
67	93	91	74	99
65	73	95	78	77
69	86	84	79	93
66	68	82	76	100
66	99	88	64	60
85	75	82	65	60
87	78	94	69	69
69	65	81	79	70
82	68	93	71	49
64	61	100	77	67
84	58	78	61	40
71	58	85	75	50
77	92	95	77	92
77	87	81	78	40
87	68	93	69	90
71	68	99	76	77
69	64	87	67	59
71	78	82	74	47
73	92	83	70	72
70	60	79	64	94
68	65	88	61	43
65	94	100	75	64
83	69	82	68	81
63	98	89	74	44
87	55	80	68	68
77	100	80	65	71
65	96	86	76	74
74	58	78	67	57
86	95	96	60	47
83	87	94	65	89
70	57	88	65	54
77	86	88	78	50
88	89	100	66	51
63	97	79	63	50
75	69	85	76	54
89	56	89	75	49
88	57	83	80	73
88	89	89	80	83
64	75	96	65	47
72	81	83	60	51
84	67	100	61	73
69	71	91	65	55
65	66	92	77	65
76	68	100	77	78
78	85	88	77	85
66	70	90	69	88
81	91	81	80	92
79	92	97	61	98
74	59	86	62	68
68	95	83	65	43
71	89	98	79	44
79	69	87	60	91
64	66	83	64	44
69	56	95	62	89
71	62	91	73	85
66	64	98	68	55
74	90	81	68	44
80	58	98	67	49
81	58	98	66	73
78	85	85	73	68
72	95	90	62	52
85	75	78	69	77
73	97	85	75	63
70	91	84	68	92
70	61	93	66	69
89	70	88	76	73
86	62	98	63	67
74	75	90	66	94
78	93	87	74	61
88	64	90	67	84
83	85	84	62	70
81	70	95	67	87
66	89	96	69	77
71	56	83	67	91
70	61	86	67	76
72	55	89	61	79
88	68	89	71	97
66	95	86	70	90
70	97	84	65	87
73	88	83	69	69
76	88	93	64	86
87	79	92	77	100
64	73	95	69	84
75	71	91	64	93
69	61	84	66	80
69	91	94	79	62
67	77	85	72	48
63	61	87	76	54
67	95	91	64	54
78	68	98	72	84
81	61	93	62	99
73	100	97	70	94
68	60	90	69	43
78	56	97	68	86
63	70	93	76	57
63	63	79	60	40
73	91	95	67	64
89	97	89	74	49
74	92	88	79	93
75	61	93	77	82
78	84	97	62	92
70	91	97	62	88
83	86	94	63	83
68	55	90	80	50
79	100	97	65	92
66	65	92	78	41
87	62	98	71	78
72	62	100	80	46
88	75	85	80	40
71	76	79	67	81
67	57	80	79	72
86	89	97	64	73
85	76	82	78	75
74	89	90	64	97
88	91	95	68	90
85	94	84	69	73
69	94	92	73	99
81	81	78	79	72
70	79	87	60	51
63	98	80	68	71
75	66	82	70	87
85	65	100	64	80
82	73	92	73	65
64	92	90	65	55
69	98	86	77	94
63	69	80	63	55
82	64	81	65	81
78	83	91	67	64
74	80	84	75	97
67	60	99	68	93
75	94	84	71	41
78	95	91	62	65
85	75	78	74	77
89	84	94	63	70
74	58	83	72	42
69	57	89	67	78
82	65	100	62	76
85	82	91	61	53
77	92	79	60	65
75	84	99	63	64
80	92	83	65	55
65	70	88	65	86
75	84	84	69	67
87	59	98	71	82
66	92	93	78	57
68	57	93	63	85
65	63	99	72	99
68	69	88	79	64
70	86	99	66	63
70	75	87	60	70
83	66	84	71	52
63	69	83	66	61
84	63	87	65	77
77	100	96	79	71
80	88	90	78	97
76	78	95	73	75
72	94	78	77	55
77	91	100	65	68
64	75	98	61	96
66	83	90	60	79
71	94	99	61	100
76	70	83	74	79
69	62	99	64	91
74	64	85	68	45
68	56	100	75	40
76	99	97	74	74
78	84	86	80	91
89	75	83	76	66
79	65	95	70	96
66	82	79	75	45
72	77	94	71	80
73	79	96	64	60
73	69	92	74	99
73	91	93	65	49
81	68	85	60	92
85	99	97	76	77
67	71	84	75	46
79	63	88	60	65
68	91	86	75	46
64	87	90	74	87
63	61	85	70	69
84	57	83	65	87
75	92	78	61	90
79	66	87	67	97
83	61	98	78	45
81	68	81	72	92
76	91	88	74	81
63	67	94	68	55
72	62	79	62	77
76	79	99	70	90
76	67	81	69	76
78	79	100	74	53
82	94	88	80	71
87	86	99	75	51
66	80	86	60	72
66	85	80	78	99
78	79	99	71	67
64	89	94	60	49
73	61	80	77	71
77	58	78	70	69
82	99	90	80	63
69	76	99	69	43
64	95	86	67	41
82	85	84	68	56
85	95	78	66	58
75	75	86	72	51
89	62	100	68	51
65	75	97	74	54
84	75	97	65	47
75	66	98	77	62
66	86	81	71	66
63	83	86	70	80
81	79	82	67	51
77	99	83	60	62
68	62	93	62	96
81	93	91	62	78
78	89	78	72	74
84	82	78	77	47
78	84	89	65	56
68	89	82	80	98
71	63	95	73	70
69	87	82	67	53
81	80	79	80	54
79	77	78	77	87
74	56	89	63	44
63	67	96	76	43
75	87	86	80	77
63	64	90	60	46
72	89	100	77	70
74	91	89	64	50
81	56	89	76	52
66	92	79	60	50
87	60	92	76	86
72	70	79	73	78
67	81	79	63	99
75	100	82	74	88
85	80	78	72	52
72	75	100	72	50
66	70	99	66	51
81	66	100	78	62
88	68	80	73	42
72	63	98	77	76
65	100	86	61	61
83	59	79	60	88
83	80	91	62	48
76	98	88	64	75
64	55	88	77	45
68	97	85	79	46
87	95	93	66	42
83	70	99	78	61
83	95	91	78	79
68	76	89	62	100
86	94	92	69	60
77	98	98	61	63
89	56	92	75	83
64	70	86	76	80
65	92	79	73	67
85	81	79	66	88
73	86	90	76	48
79	92	84	63	87
74	77	94	72	90
70	66	96	65	69
80	74	97	69	74
78	84	100	79	64
87	88	92	66	47
67	84	81	75	100
67	58	85	76	74
82	58	88	70	75
73	71	89	65	98
84	82	98	70	57
82	71	81	71	62
83	72	79	79	89
85	82	97	76	63
87	93	92	61	93
65	56	79	64	45
78	85	91	65	85
89	92	84	67	57
65	100	95	77	70
67	72	86	75	58
70	92	95	72	57
67	67	89	60	51
69	67	94	65	72
66	71	88	60	58
85	73	90	73	87
85	72	90	67	85
80	89	94	79	77
88	75	94	79	64
64	80	86	75	62
88	83	90	77	97
82	66	83	77	73
76	68	78	69	44
73	94	80	76	66
67	87	88	60	60
68	75	85	73	96
82	73	81	65	41
81	88	78	61	59
64	97	87	72	60
83	59	79	65	79
85	96	85	74	83
76	98	89	71	57
70	82	100	80	100
80	80	100	72	98
73	90	100	73	47
63	62	78	80	68
69	77	78	73	62
88	80	95	77	88
70	69	96	78	83
74	95	79	73	43
75	69	98	79	91
89	86	85	67	76
85	82	84	68	86
86	83	80	60	78
63	68	84	68	98
63	82	91	73	99
74	67	93	80	97
85	86	80	65	78
76	87	80	73	79
67	70	87	75	66
66	65	89	74	68
81	62	85	79	76
76	97	99	67	80
84	72	86	73	81
77	65	80	67	67
73	78	94	71	73
83	86	93	66	54
78	73	98	68	54
83	94	83	67	58
67	56	83	78	57
81	94	99	64	88
78	79	88	60	71
